date,time,open,high,low,close
2022.01.28,16:00,1.11502,1.11513,1.11449,1.1145
2022.01.30,16:00,1.11422,1.11542,1.1138,1.1145
2022.01.30,20:00,1.11452,1.11636,1.11445,1.11616
2022.01.31,00:00,1.11615,1.11823,1.11605,1.11705
2022.01.31,04:00,1.11706,1.11819,1.11462,1.11563
2022.01.31,08:00,1.11562,1.12178,1.11525,1.12101
2022.01.31,12:00,1.12101,1.12478,1.12093,1.1235
2022.01.31,16:00,1.12349,1.12353,1.12209,1.12238
2022.01.31,20:00,1.12238,1.12447,1.12214,1.1243
2022.02.01,00:00,1.1243,1.12694,1.12342,1.12572
2022.02.01,04:00,1.12572,1.12786,1.12536,1.12612
2022.02.01,08:00,1.12615,1.12743,1.12342,1.1239
2022.02.01,12:00,1.12391,1.12705,1.12359,1.12686
2022.02.01,16:00,1.12685,1.12748,1.12658,1.12711
2022.02.01,20:00,1.12711,1.12778,1.12705,1.12745
2022.02.02,00:00,1.12743,1.12942,1.12665,1.12895
2022.02.02,04:00,1.12897,1.13285,1.12784,1.13248
2022.02.02,08:00,1.1325,1.133,1.12924,1.12993
2022.02.02,12:00,1.12993,1.13142,1.12983,1.13052
2022.02.02,16:00,1.13051,1.13081,1.12948,1.12962
2022.02.02,20:00,1.12961,1.13082,1.12929,1.12967
2022.02.03,00:00,1.12967,1.13024,1.1288,1.1295
2022.02.03,04:00,1.12949,1.12985,1.12672,1.12915
2022.02.03,08:00,1.12914,1.14514,1.12792,1.14257
2022.02.03,12:00,1.14258,1.14498,1.14196,1.14305
2022.02.03,16:00,1.14302,1.14459,1.14289,1.14456
2022.02.03,20:00,1.14458,1.14719,1.14446,1.1466
2022.02.04,00:00,1.14659,1.14686,1.14397,1.14601
2022.02.04,04:00,1.146,1.14837,1.14494,1.1465
2022.02.04,08:00,1.14652,1.1468,1.14115,1.14519
2022.02.04,12:00,1.14521,1.14641,1.14474,1.14548
2022.02.04,16:00,1.14546,1.14555,1.14477,1.14477
2022.02.06,16:00,1.14638,1.14646,1.14504,1.14528
2022.02.06,20:00,1.14529,1.14537,1.14247,1.14385
2022.02.07,00:00,1.14385,1.14492,1.14255,1.14338
2022.02.07,04:00,1.1434,1.14587,1.14151,1.14552
2022.02.07,08:00,1.14551,1.14566,1.14201,1.1434
