date,time,open,high,low,close
2022.02.06,16:00,156.027,156.078,155.79,155.926
2022.02.06,20:00,155.927,156.087,155.804,155.941
2022.02.07,00:00,155.941,156.162,155.748,155.8
2022.02.07,04:00,155.801,155.868,155.13,155.402
2022.02.07,08:00,155.399,155.779,155.338,155.749
2022.02.07,12:00,155.748,155.779,155.593,155.734
2022.02.07,16:00,155.735,156.083,155.558,156.048
2022.02.07,20:00,156.047,156.154,155.985,156.062
2022.02.08,00:00,156.063,156.248,155.977,156.217
2022.02.08,04:00,156.217,156.428,156.029,156.046
2022.02.08,08:00,156.045,156.719,155.993,156.675
2022.02.08,12:00,156.675,156.691,156.415,156.559
2022.02.08,16:00,156.557,156.678,156.364,156.45
2022.02.08,20:00,156.447,156.548,156.349,156.527
2022.02.09,00:00,156.526,156.636,156.279,156.568
2022.02.09,04:00,156.568,156.854,156.464,156.72
2022.02.09,08:00,156.719,156.825,156.277,156.305
2022.02.09,12:00,156.309,156.41,156.192,156.374
2022.02.09,16:00,156.381,156.487,156.282,156.406
2022.02.09,20:00,156.405,156.503,156.243,156.447
2022.02.10,00:00,156.448,156.742,156.374,156.602
2022.02.10,04:00,156.6,157.228,156.592,157.178
2022.02.10,08:00,157.179,158.059,157.016,157.972
2022.02.10,12:00,157.971,158.062,157.197,157.282
2022.02.10,16:00,157.281,157.402,157.112,157.166
2022.02.10,20:00,157.164,157.266,157.019,157.073
2022.02.11,00:00,157.073,157.433,156.707,157.352
2022.02.11,04:00,157.353,157.544,157.221,157.451
2022.02.11,08:00,157.452,157.68,157.204,157.639
2022.02.11,12:00,157.639,157.705,155.857,156.231
2022.02.11,16:00,156.217,156.66,156.172,156.496
2022.02.13,16:00,156.323,156.858,156.304,156.5
2022.02.13,20:00,156.501,156.71,156.253,156.424
2022.02.14,00:00,156.424,156.444,155.302,155.395
2022.02.14,04:00,155.394,156.374,155.353,156.247
2022.02.14,08:00,156.247,156.473,155.974,156.394
2022.02.14,12:00,156.395,156.546,155.993,156.347
2022.02.14,16:00,156.35,156.427,156.143,156.231
2022.02.14,20:00,156.231,156.303,156.125,156.212
2022.02.15,00:00,156.211,156.824,155.962,156.803
2022.02.15,04:00,156.802,156.81,156.458,156.592
2022.02.15,08:00,156.593,156.717,156.187,156.56
2022.02.15,12:00,156.563,156.594,156.416,156.512
2022.02.15,16:00,156.512,156.707,156.364,156.673
2022.02.15,20:00,156.673,156.752,156.599,156.675
